Product_id;Producto_Name;Category;Price_PEN
P000;The Forgotten Chronicle: Hardcover Edition;Books;183.54
P001;Pro-Series Non-Stick Ceramic Skillet;Home & Kitchen;165.27
P002;Elite Performance Match Soccer Ball;Sports;338.89
P003;Minimalist LED Desk Lamp with Dimmer;Home & Kitchen;465.71
P004;Professional 7-Piece Chef Knife Set;Home & Kitchen;266.75
P005;Wireless Active Noise Cancelling Headphones;Electronics;398.2
P006;Sustainable Bamboo Kitchen Organizer;Home & Kitchen;159.98
P007;All-Weather Waterproof Hooded Jacket;Clothing;441.05
P008;Compact Programmable Drip Coffee Maker;Home & Kitchen;41.31
P009;Luxury 800 Thread Count Cotton Sheet Set;Home & Kitchen;472.23
P010;Galactic Traveler’s Guide to the Unknown;Books;130.74
P011;QuietMist Ultrasonic Cool Mist Humidifier;Home & Kitchen;173.84
P012;Slim Fit Modern Chino Trousers;Clothing;158.63
P013;Wall-Mounted Rustic Oak Coat Rack;Home & Kitchen;128.5
P014;High-Torque Handheld Immersion Blender;Home & Kitchen;370.49
P015;Professional Indoor/Outdoor Ping Pong Table;Sports;323.96
P016;34-Inch Ultra-Wide 4K Productivity Monitor;Electronics;436.26
P017;Solid Oak Frame Beveled Wall Mirror;Home & Kitchen;341.45
P018;Quick-Adjust Neoprene Coated Dumbbells;Sports;345.53
P019;Medieval Castle Siege Building Block Set;Toys;433.13
P020;Aerodynamic Carbon Fiber Tennis Racket;Sports;82.64
P021;Smart Interactive Coding Robot for Kids;Toys;98.88
P022;Magnetic Alphabet & Number Learning Tiles;Toys;23.5
P023;Dual-Band High-Speed Mesh Wi-Fi Router;Electronics;363.33
P024;Masterpieces of 19th Century Literature;Books;211.03
P025;Shock-Absorbing Professional Yoga Mat;Sports;194.69
P026;Remote Control High-Speed Racing Drone;Toys;224.71
P027;Multi-Grip Pull-Up Bar for Home Gym;Sports;400.73
P028;Vintage-Wash Relaxed Fit Denim Jacket;Clothing;213.59
P029;1000-Piece Scenic Landscape Jigsaw Puzzle;Toys;168.41
P030;Adjustable Heavy-Duty Jump Rope;Sports;284.18
P031;Advanced Principles of Quantum Physics;Books;258.21
P032;Performance Moisture-Wicking Running Socks;Clothing;10.94
P033;Culinary Arts: The Ultimate Pastry Guide;Books;442.43
P034;Eco-Friendly Wooden Train Adventure Set;Toys;6.58
P035;USB-C Fast Charging Multi-Port Hub;Electronics;7.12
P036;The Architect’s Vision: Modern Structures;Books;478.15
P037;Glow-in-the-Dark Solar System Mobile;Toys;394.84
P038;Premium Graphite Golf Club Driver;Sports;455.86
P039;Smart Home Central Hub with Voice Control;Electronics;330.05
P040;Mechanical RGB Backlit Gaming Keyboard;Electronics;173.74
P041;Large Plush Interactive Storytelling Bear;Toys;468.76
P042;Stainless Steel Compost Bin for Countertop;Home & Kitchen;15.01
P043;Digital Air Fryer with Preset Cooking Modes;Home & Kitchen;348.9
P044;Weighted Gravity Blanket for Deep Sleep;Home & Kitchen;231.54
P045;Backyard Inflatable Water Slide Park;Toys;314.5
P046;4K Mirrorless Digital Camera Body;Electronics;351.26
P047;Breathable Lightweight Trail Running Shoes;Clothing;189.52
P048;Countertop Convection Toaster Oven;Home & Kitchen;457.9
P049;Magnetic Building Tiles Mega Pack;Toys;434.27
P050;Retro-Style Arcade Machine Console;Toys;425.19
P051;Merino Wool Blend Winter Overcoat;Clothing;421.3
P052;The History of Ancient Civilizations;Books;329.47
P053;Photography Masterclass: Light and Shadow;Books;491.24
P054;Magnetic Knife Strip for Wall Mount;Home & Kitchen;137.57
P055;Philosophy 101: Wisdom Through the Ages;Books;143.57
P056;The Science of Sustainable Gardening;Books;123.86
P057;Heavy-Duty Cast Iron Dutch Oven;Home & Kitchen;375.98
P058;Folding Lightweight Camping Chair;Sports;177.84
P059;Ergonomic Vertical Wireless Mouse;Home & Kitchen;304.86
P060;Linen Blend Summer Button-Down Shirt;Clothing;194.31
P061;STEM Discovery Chemistry Experiment Kit;Toys;401.98
P062;Portable External 2TB Solid State Drive;Electronics;496.01
P063;Convertible Trike for Toddlers;Toys;71.58
P064;Vacuum Insulated Food Jar with Spoon;Home & Kitchen;71.25
P065;Ceramic Non-Stick Electric Griddle;Home & Kitchen;167.96
P066;Compact Travel Steamer for Clothes;Electronics;29.72
P067;Precision Kitchen Scale with LCD Display;Home & Kitchen;29.41
P068;Smart Wi-Fi Enabled LED Strip Lights;Electronics;180.23
P069;High-Altitude Trekking Backpack 65L;Sports;245.66
P070;Compression Wrist Guards for Athletics;Sports;92.4
P071;Portable Bluetooth 5.0 Waterproof Speaker;Electronics;109.98
P072;Memory Foam Orthopedic Seat Cushion;Home & Kitchen;450.03
P073;Beginners Guide to Digital Illustration;Books;73.7
P074;Packable Windbreaker Training Vest;Clothing;52.69
P075;Speed-Focused Road Cycling Helmet;Sports;148.58
P076;Classic Handcrafted Chess Set in Wood;Toys;136.43
P077;Inflatable Stand-Up Paddleboard Kit;Toys;251.4
P078;Biometric Secure Fingerprint Padlock;Electronics;135.05
P079;Backyard Telescope for Star Gazing;Toys;346.77
P080;Microfiber Rapid-Dry Dish Mat;Home & Kitchen;28.79
P081;Folding Magnetic Exercise Bike;Sports;287.07
P082;Botanical Illustration: Flora of the World;Books;382.07
P083;Action-Packed Superhero Figure Set;Toys;474.03
P084;Desktop Document Scanner with Auto-Feed;Electronics;370.89
P085;Portable Folding Soccer Goal Net;Sports;166.75
P086;Kinetic Sand Magic Sandcastle Playset;Toys;301.74
P087;Poetry Collection: Echoes of the Heart;Books;13.17
P088;Heavy-Duty Resistance Band Set;Sports;146.06
P089;Electric Milk Frother and Warmer;Home & Kitchen;461.5
P090;Ergonomic Laptop Stand with Cooling Fans;Electronics;88.84
P091;Seamless High-Waist Athletic Leggings;Clothing;176.94
P092;Ribbed Knit Turtleneck Sweater;Clothing;183.15
P093;Coding for Kids: Python Adventures;Books;343.09
P094;Relaxed Fit Crewneck Cotton Sweatshirt;Clothing;307.61
P095;Soft Foam Alphabet Floor Puzzle Mat;Toys;298.81
P096;Electric Kettle with Temperature Control;Home & Kitchen;270.89
P097;Porcelain Dinnerware Set (16 Pieces);Home & Kitchen;313.26
P098;Adjustable Basketball Hoop System;Toys;407.36
P099;Mystery of the Crimson Manor: A Novel;Books;353.58
